room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
10304607,1454,3771674,Entire home/apt,,Belgium,Brussel,Vorst,43,5.0,4,1.0,,59.0,,Charming apartment - Good location,2017-07-14 17:15:40.374658,50.827482,4.331132,0101000020E6100000E4A25A4414531140AC0320EEEA694940
11689970,1454,62108385,Entire home/apt,,Belgium,Brussel,Sint-Gillis,133,4.5,2,1.0,,59.0,,Large New Apartment with Nice View,2017-07-14 17:15:40.370797,50.829689,4.34464,0101000020E6100000E292E34EE9601140EC6CC83F336A4940
16332439,1454,26694456,Entire home/apt,,Belgium,Brussel,Brussel,10,4.5,4,1.0,,53.0,,appartement fonctionnel à bruxelles,2017-07-14 17:15:40.364901,50.817982,4.36551,0101000020E61000009F71E14048761140BC5B59A2B3684940
13496652,1454,77396211,Entire home/apt,,Belgium,Brussel,Anderlecht,59,4.0,2,1.0,,47.0,,Newly refurbished flat in the heart of Brussels,2017-07-14 17:15:35.421334,50.841093,4.333263,0101000020E61000000DDE57E54255114080F277EFA86B4940
16168788,1454,11064697,Entire home/apt,,Belgium,Brussel,Etterbeek,21,4.5,2,1.0,,53.0,,Nice apartment in Brussels 70m,2017-07-14 17:15:35.417192,50.834039,4.380634,0101000020E61000008FFB56EBC4851140554B3ACAC16A4940
15951270,1454,42920414,Entire home/apt,,Belgium,Brussel,Sint-Lambrechts-Woluwe,6,5.0,2,1.0,,57.0,,Cosy and luminous apartment near by downtown (EU),2017-07-14 17:15:35.414074,50.842329,4.399597,0101000020E6100000A051BAF42F99114077BCC96FD16B4940
19695663,1454,75576289,Entire home/apt,,Belgium,Brussel,Ukkel,0,0.0,4,2.0,,53.0,,Yana,2017-07-14 17:15:31.509270,50.802382,4.31886,0101000020E61000009F02603C8346114015731074B4664940
7262234,1454,14050717,Entire home/apt,,Belgium,Antwerpen,Antwerpen,58,5.0,2,1.0,,57.0,,cosy appartement centraal,2017-07-14 17:15:31.504166,51.223795,4.420555,0101000020E610000058AD4CF8A5AE114011018750A59C4940
715223,1454,3337596,Entire home/apt,,Belgium,Brussel,Brussel,259,4.5,4,1.0,,59.0,,Downtown Loft with huge windows,2017-07-14 17:15:31.484816,50.844697,4.343275,0101000020E61000003A234A7B835F1140C00303081F6C4940
2787957,1454,6767876,Entire home/apt,,Belgium,Brussel,Brussel,41,5.0,2,0.0,,58.0,,Spacious flat in city center close to Grand Place!,2017-07-14 17:15:29.999182,50.856563,4.352724,0101000020E6100000A60EF27A3069114059FB3BDBA36D4940
7794914,1454,41027684,Entire home/apt,,Belgium,Brussel,Sint-Jans-Molenbeek,180,4.0,2,1.0,,44.0,,"Apt in the center, close to metro",2017-07-14 17:15:29.995248,50.846109,4.325195,0101000020E6100000774A07EBFF4C1140F6ECB94C4D6C4940
